"","masterid","latitude","longitude","huc","county","smcshed","csci","sampledate","sampleyear","fieldreplicate","CSCI.Score","Modified.Class","Unhealthy Biology, Unlikely Stressed","Unhealthy Biology, Likely Stressed","Healthy Biology, Unlikely Stressed","Healthy Biology, Likely Stressed","Unhealthy Biology,  Very Likely Stressed","Healthy Biology,  Very Likely Stressed","Total Stressed FFM"
"83","SMC05524",34.27032,-118.91723,408,"Ventura","Calleguas",0.63736343,2011-06-30,2011,1,0.63736343,"Soft Bottom (2)",1,8,0,0,0,0,8
"84","412M08638",34.20922,-118.17119,412,"Los Angeles","Los Angeles",0.99199514,2017-08-16,2017,1,0.99199514,"Natural",0,0,2,7,0,0,0
"85","412M08640",34.22095,-118.54618,412,"Los Angeles","Los Angeles",0.3487884,2018-05-30,2018,1,0.3487884,"Hard Bottom",1,7,0,0,1,0,8
"86","403M01625",34.57002,-118.77994,403,"Ventura","Santa Clara",0.95499837,2020-06-30,2020,1,0.95499837,"Natural",0,0,1,8,0,0,0
"87","SMC01726",33.86351,-117.98816,845,"Orange","San Gabriel",0.42642806,2019-06-06,2019,1,0.42642806,"Hard Bottom",1,6,0,0,2,0,8
"88","SMC06216",34.27407,-118.31518,412,"Los Angeles","Los Angeles",0.98468369,2020-07-28,2020,2,0.96084854,"Natural",0,0,2,7,0,0,0
"89","907M23362",32.9918,-116.71432,907,"San Diego","Mission Bay and San Diego River",0.8851193,2017-05-09,2017,1,0.8851193,"Natural",0,0,3,6,0,0,0
"90","SMC02988",34.16168,-117.99022,412,"Los Angeles","Los Angeles",0.74510014,2014-06-12,2014,2,0.64388338,"Hard Bottom",2,7,0,0,0,0,7
"91","SMC03222",33.02209,-117.06725,905,"San Diego","Central San Diego",0.58573482,2012-07-11,2012,1,0.58573482,"Hard Bottom",3,6,0,0,0,0,6
"92","SMC04132",34.21472,-118.88416,408,"Ventura","Calleguas",0.71549053,2012-06-11,2012,2,0.64231609,"Hard Bottom",1,8,0,0,0,0,8
"93","SMC04175",34.40835,-119.27642,402,"Ventura","Ventura",0.8362015,2009-06-11,2009,1,0.8362015,"Natural",0,0,2,7,0,0,0
"94","403M05795",34.60898,-118.77961,403,"Los Angeles","Santa Clara",0.87747204,2017-06-05,2017,1,0.87747204,"Natural",0,0,1,8,0,0,0
"95","404M04599",34.09458,-118.92442,404,"Ventura","Santa Monica Bay",1.02408172,2016-08-03,2016,1,1.02408172,"Natural",0,0,0,9,0,0,0
"96","404M07346",33.8024,-118.39639,404,"Los Angeles","Santa Monica Bay",0.65191934,2015-07-01,2015,1,0.65191934,"Natural",2,7,0,0,0,0,7
"97","408M03019",34.26742,-118.94037,408,"Ventura","Calleguas",0.71478848,2015-07-14,2015,1,0.71478848,"Soft Bottom (0)",1,8,0,0,0,0,8
"98","906M23318",32.8249,-117.23035,906,"San Diego","Mission Bay and San Diego River",0.40645762,2015-04-28,2015,1,0.40645762,"Natural",1,8,0,0,0,0,8
"99","SMC00436",34.149,-118.27863,412,"Los Angeles","Los Angeles",0.4766031,2017-05-31,2017,2,0.62060885,"Hard Bottom",1,8,0,0,0,0,8
"100","SMC00476",34.24209,-118.13381,412,"Los Angeles","Los Angeles",1.0184354,2009-06-08,2009,1,1.0184354,"Natural",0,0,2,7,0,0,0
"101","SMC01452",34.09095,-118.06675,412,"Los Angeles","Los Angeles",0.39455766,2010-07-15,2010,1,0.39455766,"Hard Bottom",3,6,0,0,0,0,6
"102","SMC04399",34.30796,-119.30062,402,"Ventura","Ventura",0.64968236,2009-06-11,2009,1,0.64968236,"Natural",1,8,0,0,0,0,8
"103","SMC06302",33.86699,-117.85366,801,"Orange","Lower Santa Ana",0.53709324,2012-06-28,2012,1,0.53709324,"Soft Bottom (2)",4,5,0,0,0,0,5
"104","SMC11727",34.47857,-119.29339,402,"Ventura","Ventura",0.90018908,2010-06-09,2010,1,0.90018908,"Natural",0,0,2,7,0,0,0
"105","911M24945",32.74334,-116.46741,911,"San Diego","Southern San Diego",0.74180933,2017-04-04,2017,1,0.74180933,"Natural",2,7,0,0,0,0,7
"106","SMC13214",33.80453,-117.87242,801,"Orange","Lower Santa Ana",0.45440705,2013-05-22,2013,1,0.45440705,"Soft Bottom (2)",0,2,0,0,7,0,9
"107","405PS0030",34.23487,-117.80523,405,"Los Angeles","San Gabriel",0.71424503,2021-07-22,2021,1,0.71424503,"Natural",2,7,0,0,0,0,7
"108","403M01629",34.38748,-119.0707,403,"Ventura","Santa Clara",0.83371596,2020-06-15,2020,1,0.83371596,"Natural",0,0,4,5,0,0,0
"109","404M07376",34.08222,-118.68792,404,"Los Angeles","Santa Monica Bay",0.96669337,2019-07-09,2019,1,0.96669337,"Natural",0,0,1,8,0,0,0
"110","905M21791",33.12278,-116.78727,905,"San Diego","Central San Diego",0.77581633,2020-05-27,2020,2,0.75737313,"Natural",2,7,0,0,0,0,7
"111","SMC01384",34.0646,-118.70091,404,"Los Angeles","Santa Monica Bay",0.84384812,2020-06-29,2020,1,0.84384812,"Natural",0,0,0,9,0,0,0
"112","SMC01174",33.01677,-117.01646,905,"San Diego","Central San Diego",0.72977406,2011-07-20,2011,1,0.72977406,"Natural",1,8,0,0,0,0,8
"113","404M07349",34.07803,-118.70166,404,"Los Angeles","Santa Monica Bay",0.72473013,2015-07-15,2015,1,0.72473013,"Natural",0,9,0,0,0,0,9
