"","metric","ThresholdNAT_Lower","ThresholdNAT_Upper","ThresholdNATMed_Lower","ThresholdNATMed_Upper","ThresholdNATLow_Lower","ThresholdNATLow_Upper","ThresholdNATHigh_Lower","ThresholdNATHigh_Upper","ThresholdHB_Lower","ThresholdHB_Upper","ThresholdSB0_Lower","ThresholdSB0_Upper","ThresholdSB2_Lower","ThresholdSB2_Upper","n","Index","Hydro_endpoint","SmoothingFunc","Quantile"
"264","csci_Peak_10_15_0.3",NA,NA,NA,NA,-354.332112262237,3780.96276102721,NA,NA,NA,27.7278864792269,NA,NA,NA,NA,17273,"csci","Peak_10",15,"0.3"
"265","csci_Peak_2_15_0.3",-3060.71235367358,NA,-3060.71235367358,NA,-250.308714344779,7.70425064931541,NA,NA,-27.3101455671241,1429.36016591756,-1117.32421051985,NA,-978.236904554289,NA,17980,"csci","Peak_2",15,"0.3"
"266","csci_Peak_5_15_0.3",-9944.22921300535,NA,-9944.22921300535,NA,-889.175030335912,274.824184929096,-11375.9803342448,NA,-3807.34385619474,5367.43332799521,-4531.24278922272,NA,-4248.56653305322,NA,18999,"csci","Peak_5",15,"0.3"
"267","csci_SP_Mag_15_0.3",NA,2255.82550558744,NA,2255.82550558744,-17.56740058593,186.051839758872,NA,NA,NA,5.45545136569535,NA,2226.45962646635,NA,2137.88114794527,14103,"csci","SP_Mag",15,"0.3"
"268","csci_Wet_BFL_Mag_10_15_0.3",-29.0073191758393,NA,-29.0073191758393,NA,-1.09413569420331,7.87984202723194,-32.0366905588141,NA,-4.55672855919087,1.35175167420483,-28.8160937732599,NA,-28.2662954724523,NA,79019,"csci","Wet_BFL_Mag_10",15,"0.3"
"269","csci_Wet_BFL_Mag_50_15_0.3",-122.61882592485,NA,-122.61882592485,NA,-16.194317934015,12.9801260699627,-145.520446987524,NA,-108.586269604446,105.310910655996,-121.359867246479,NA,-117.718933655663,NA,143499,"csci","Wet_BFL_Mag_50",15,"0.3"
"270","csci_Q99_15_0.3",-15240.0704460788,NA,-15240.0704460788,NA,-213.811514251898,186.982893082734,-17576.9260124527,NA,-13658.9798065487,NA,-15093.407589586,NA,-14672.0293039382,NA,33828,"csci","Q99",15,"0.3"
"271","csci_DS_Mag_50_18_0.99",NA,20.6798721012861,NA,20.6798721012861,NA,53.1039153057986,NA,15.5951964185422,NA,51.3295079727272,NA,46.8504359308311,NA,48.0361802549596,14141,"csci","DS_Mag_50",18,"0.99"
"272","csci_FA_Mag_18_0.99",NA,264.824814134016,NA,264.824814134016,NA,847.076947036392,-185.911653849949,187.349732738646,NA,360.408944188637,NA,271.234402942934,NA,291.354453710746,11590,"csci","FA_Mag",18,"0.99"
"273","csci_Peak_10_18_0.99",-21110.5689234813,NA,-21110.5689234813,NA,NA,NA,-16548.6976120196,NA,-24467.031164787,NA,-21405.1079198228,NA,-22267.1390988215,NA,17273,"csci","Peak_10",18,"0.99"
"274","csci_Peak_2_18_0.99",NA,NA,NA,NA,NA,NA,-4306.82064826201,NA,NA,NA,NA,NA,NA,NA,17980,"csci","Peak_2",18,"0.99"
