"","masterid","sampleyear","MetricValue","deltah_final","hydro.endpoints","ChannelType","csci_Incr","RelChangeInDeltaINC","Threshold","Lower2","Upper2","NoFlowProblem","HealthyCSCI","RelChangeInDelta","Categories","MaxScore"
"58","SMC04121",2012,0.51538713,2.74308608058608,"DS_Mag_50","NAT",0.61538713,337.21,"NAT",-11.2137267672896,1.96772076875167,"No","No",28.2661677051253,"Type E",0.51538713
"59","SMC04880",2012,0.9317443,1.17362454212454,"DS_Mag_50","NAT",1.0317443,99.69,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Type X",0.9317443
"60","901M14134",2016,0.66986137,0.710446137196138,"DS_Mag_50","NAT",0.76986137,378.64,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Type A",0.66986137
"61","SMC00345",2011,0.5701193,1.3599875957376,"DS_Mag_50","NAT",0.6701193,566.18,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Type A",0.5701193
"62","SMC02988",2014,0.64388338,1.12975582750583,"DS_Mag_50","HB",0.74388338,344.32,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Type A",0.64388338
"63","SMC07085",2011,0.46263341,2.49595596070596,"DS_Mag_50","HB",0.56263341,501.61,"NAT",-11.2137267672896,1.96772076875167,"No","No",21.1636423186282,"Type E",0.46263341
"64","402M00042",2017,0.66807478,1.06080627705628,"DS_Mag_50","NAT",0.76807478,231.9,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Type A",0.66807478
"65","402M00009",2015,0.28871308,1.33734315684316,"DS_Mag_50","NAT",0.38871308,2390.56,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Type A",0.28871308
"66","906M23361",2019,0.68469947,12.8206654179154,"DS_Mag_50","NAT",0.78469947,81.51,"NAT",-11.2137267672896,1.96772076875167,"No","No",84.6519606852698,"Type E",0.68469947
"67","402M00127",2019,0.65418093,3.10044846819847,"DS_Mag_50","NAT",0.75418093,41.93,"NAT",-11.2137267672896,1.96772076875167,"No","No",36.5343178919202,"Type E",0.65418093
"68","404M07372",2019,0.52934004,-12.3148715451215,"DS_Mag_50","NAT",0.62934004,65.94,"NAT",-11.2137267672896,1.96772076875167,"No","No",8.94158557640916,"Type B",0.52934004
"69","802M17015",2020,0.95669495,-0.303796953046953,"DS_Mag_50","NAT",1.05669495,1194.88,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Type X",0.95669495
"70","404M07368",2018,0.46191342,-12.1975779220779,"DS_Mag_50","NAT",0.56191342,91.99,"NAT",-11.2137267672896,1.96772076875167,"No","No",8.06595506971516,"Type B",0.46191342
"71","904M21713",2015,0.50790164,0.762981268731267,"DS_Mag_50","HB",0.60790164,1525.59,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Type A",0.50790164
"72","SMC01257",2011,0.68267913,1.00635572760573,"DS_Mag_50","SB2",0.78267913,150.05,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Type A",0.68267913
"73","801M12625",2015,0.39757171,-8.69349966699967,"DS_Mag_50","HB",0.49757171,200.49,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Type A",0.39757171
"74","SMC01912",2012,0.40445942,5.32226207126207,"DS_Mag_50","HB",0.50445942,256.09,"NAT",-11.2137267672896,1.96772076875167,"No","No",63.0284878421054,"Type E",0.40445942
"75","SMC02206",2011,0.52646484,0.342031218781219,"DS_Mag_50","SB2",0.62646484,3230.7,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Type A",0.52646484
"76","SMC02417",2011,0.5792463,0.762981268731267,"DS_Mag_50","HB",0.6792463,1024.93,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Type A",0.5792463
"77","SMC05524",2011,0.63736343,3.42300133200134,"DS_Mag_50","SB2",0.73736343,57.55,"NAT",-11.2137267672896,1.96772076875167,"No","No",42.5147530514925,"Type E",0.63736343
"78","412M08638",2017,0.99199514,1.04437437562438,"DS_Mag_50","NAT",1.09199514,99.58,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Type X",0.99199514
"79","412M08640",2018,0.3487884,18.3634537962038,"DS_Mag_50","HB",0.4487884,32.02,"NAT",-11.2137267672896,1.96772076875167,"No","No",89.284582352594,"Type E",0.3487884
"80","403M01625",2020,0.95499837,6.70630103230104,"DS_Mag_50","NAT",1.05499837,100.06,"NAT",-11.2137267672896,1.96772076875167,"No","Yes",70.6586274717747,"Type X",0.95499837
"81","SMC01726",2019,0.42642806,45.3482225274725,"DS_Mag_50","HB",0.52642806,61.72,"NAT",-11.2137267672896,1.96772076875167,"No","No",95.6608646181014,"Type E",0.42642806
"82","907M23362",2017,0.8851193,0.24401615051615,"DS_Mag_50","NAT",0.9851193,98.35,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Type X",0.8851193
"83","SMC03222",2012,0.58573482,1.9488499000999,"DS_Mag_50","HB",0.68573482,322.75,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Type A",0.58573482
"84","SMC04175",2009,0.8362015,3.13876423576423,"DS_Mag_50","NAT",0.9362015,100.04,"NAT",-11.2137267672896,1.96772076875167,"No","Yes",37.3090611161317,"Type X",0.8362015
"85","403M05795",2017,0.87747204,6.47824991674993,"DS_Mag_50","NAT",0.97747204,100.03,"NAT",-11.2137267672896,1.96772076875167,"No","Yes",69.6257354372204,"Type X",0.87747204
"86","404M04599",2016,1.02408172,5.83864901764901,"DS_Mag_50","NAT",1.12408172,100.02,"NAT",-11.2137267672896,1.96772076875167,"No","Yes",66.2983549310181,"Type X",1.02408172
"87","404M07346",2015,0.65191934,1.45094413919414,"DS_Mag_50","NAT",0.75191934,212.96,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Type A",0.65191934
"88","408M03019",2015,0.71478848,3.66309515484516,"DS_Mag_50","SB0",0.81478848,99.92,"NAT",-11.2137267672896,1.96772076875167,"No","No",46.2825647281105,"Type E",0.71478848
"89","906M23318",2015,0.40645762,11.4625168165168,"DS_Mag_50","NAT",0.50645762,64.03,"NAT",-11.2137267672896,1.96772076875167,"No","No",82.8334317824834,"Type E",0.40645762
"90","SMC00476",2009,1.0184354,2.32550524475524,"DS_Mag_50","NAT",1.1184354,100.19,"NAT",-11.2137267672896,1.96772076875167,"No","Yes",15.3852362539491,"Type X",1.0184354
"91","SMC01452",2010,0.39455766,1.13202347652348,"DS_Mag_50","HB",0.49455766,1643.08,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Type A",0.39455766
"92","SMC04399",2009,0.64968236,8.85889618714618,"DS_Mag_50","NAT",0.74968236,47.3,"NAT",-11.2137267672896,1.96772076875167,"No","No",77.7881947459015,"Type E",0.64968236
"93","SMC06302",2012,0.53709324,0.342031218781219,"DS_Mag_50","SB2",0.63709324,3064.05,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Type A",0.53709324
"94","SMC11727",2010,0.90018908,0.769275308025308,"DS_Mag_50","NAT",1.00018908,100.09,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Type X",0.90018908
"95","911M24945",2017,0.74180933,0.448547202797203,"DS_Mag_50","NAT",0.84180933,100.32,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Type A",0.74180933
"96","SMC13214",2013,0.45440705,15.0697981185481,"DS_Mag_50","SB2",0.55440705,2.99,"NAT",-11.2137267672896,1.96772076875167,"No","No",86.9426202443298,"Type D",0.45440705
"97","405PS0030",2021,0.71424503,-7.2275929070929,"DS_Mag_50","NAT",0.81424503,21.03,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Type A",0.71424503
"98","403M01629",2020,0.83371596,2.17547111222111,"DS_Mag_50","NAT",0.93371596,100.21,"NAT",-11.2137267672896,1.96772076875167,"No","Yes",9.54967143909033,"Type X",0.83371596
"99","404M07376",2019,0.96669337,6.13190501165501,"DS_Mag_50","NAT",1.06669337,99.97,"NAT",-11.2137267672896,1.96772076875167,"No","Yes",67.9101231181567,"Type X",0.96669337
"100","SMC01384",2020,0.84384812,5.94519821844822,"DS_Mag_50","NAT",0.94384812,100.08,"NAT",-11.2137267672896,1.96772076875167,"No","Yes",66.9023521764885,"Type X",0.84384812
