"","metric","Index","Hydro_endpoint","SmoothingFunc","Quantile","ChosenSmth","Threshold","BioThresh","CurveStatus","Lower2","Upper2"
"99","asci_Q99","asci","Q99",3,0.9,3,"SB0",0.79,"Passes",-4406.03933897331,1699.85358774559
"100","asci_Q99","asci","Q99",3,0.9,3,"SB2",0.76,"Passes",-4936.26086607904,1699.85358774559
"101","csci_Q99","csci","Q99",3,0.9,3,"NAT",0.79,"Passes",-12920.642275522,1699.85358774559
"102","csci_Q99","csci","Q99",3,0.9,3,"NATMed",0.79,"Passes",-12920.642275522,1699.85358774559
"103","csci_Q99","csci","Q99",3,0.9,3,"NATLow",0.63,"Passes",-23308.5135799822,1699.85358774559
"104","csci_Q99","csci","Q99",3,0.9,3,"NATHigh",0.92,"Passes",-7363.35071444242,1699.85358774559
"105","csci_Q99","csci","Q99",3,0.9,3,"HB",0.67,"Passes",-19992.7998162726,1699.85358774559
"106","csci_Q99","csci","Q99",3,0.9,3,"SB0",0.78,"Passes",-13409.7661205194,1699.85358774559
"107","csci_Q99","csci","Q99",3,0.9,3,"SB2",0.75,"Passes",-14962.3905343206,1699.85358774559
"108","csci_SP_Mag","csci","SP_Mag",3,0.5,3,"NAT",0.79,"Passes",-85.0889882785975,906.367884354706
"109","csci_SP_Mag","csci","SP_Mag",3,0.5,3,"NATMed",0.79,"Passes",-85.0889882785975,906.367884354706
"110","csci_SP_Mag","csci","SP_Mag",3,0.5,3,"HB",0.67,"Passes",-893.000739299055,1699.85358774559
"111","csci_SP_Mag","csci","SP_Mag",3,0.5,3,"SB0",0.78,"Passes",-178.459192253442,1014.99901266217
"112","csci_SP_Mag","csci","SP_Mag",3,0.5,3,"SB2",0.75,"Passes",-407.371367556934,1286.74594645141
"113","asci_Wet_BFL_Mag_10","asci","Wet_BFL_Mag_10",3,0.5,3,"NAT",0.86,"Below",0,0
"114","asci_Wet_BFL_Mag_10","asci","Wet_BFL_Mag_10",3,0.5,3,"NATMed",0.86,"Below",0,0
"115","asci_Wet_BFL_Mag_10","asci","Wet_BFL_Mag_10",3,0.5,3,"NATLow",0.75,"Below",0,0
"116","asci_Wet_BFL_Mag_10","asci","Wet_BFL_Mag_10",3,0.5,3,"NATHigh",0.94,"Below",0,0
"117","asci_Wet_BFL_Mag_10","asci","Wet_BFL_Mag_10",3,0.5,3,"HB",0.87,"Below",0,0
"118","asci_Wet_BFL_Mag_10","asci","Wet_BFL_Mag_10",3,0.5,3,"SB0",0.79,"Below",0,0
"119","asci_Wet_BFL_Mag_10","asci","Wet_BFL_Mag_10",3,0.5,3,"SB2",0.76,"Below",0,0
"120","csci_Wet_BFL_Mag_10","csci","Wet_BFL_Mag_10",3,0.5,3,"NAT",0.79,"Passes",-29.1331007810604,11.136480022762
"121","csci_Wet_BFL_Mag_10","csci","Wet_BFL_Mag_10",3,0.5,3,"NATMed",0.79,"Passes",-29.1331007810604,11.136480022762
"122","csci_Wet_BFL_Mag_10","csci","Wet_BFL_Mag_10",3,0.5,3,"NATLow",0.63,"Passes",-62.7089405542495,43.9703728410797
"123","csci_Wet_BFL_Mag_10","csci","Wet_BFL_Mag_10",3,0.5,3,"HB",0.67,"Passes",-55.8869328210402,37.1917300212997
"124","csci_Wet_BFL_Mag_10","csci","Wet_BFL_Mag_10",3,0.5,3,"SB0",0.78,"Passes",-32.2191788168451,14.085183945814
"125","csci_Wet_BFL_Mag_10","csci","Wet_BFL_Mag_10",3,0.5,3,"SB2",0.75,"Passes",-39.9605406604096,21.5482321471017
"126","asci_Wet_BFL_Mag_50","asci","Wet_BFL_Mag_50",3,0.5,3,"NAT",0.86,"Below",0,0
"127","asci_Wet_BFL_Mag_50","asci","Wet_BFL_Mag_50",3,0.5,3,"NATMed",0.86,"Below",0,0
"128","asci_Wet_BFL_Mag_50","asci","Wet_BFL_Mag_50",3,0.5,3,"NATLow",0.75,"Below",0,0
"129","asci_Wet_BFL_Mag_50","asci","Wet_BFL_Mag_50",3,0.5,3,"NATHigh",0.94,"Below",0,0
"130","asci_Wet_BFL_Mag_50","asci","Wet_BFL_Mag_50",3,0.5,3,"HB",0.87,"Below",0,0
"131","asci_Wet_BFL_Mag_50","asci","Wet_BFL_Mag_50",3,0.5,3,"SB0",0.79,"Below",0,0
